       sample #	   MLII	     V5
              0	    995	   1011
              1	    995	   1011
              2	    995	   1011
              3	    995	   1011
              4	    995	   1011
              5	    995	   1011
              6	    995	   1011
              7	    995	   1011
              8	   1000	   1008
              9	    997	   1008
             10	    995	   1007
             11	    994	   1007
             12	    992	   1009
             13	    993	   1010
             14	    992	   1010
             15	    989	   1011
             16	    988	   1013
             17	    987	   1014
             18	    990	   1014
             19	    993	   1016
             20	    989	   1016
             21	    988	   1013
             22	    986	   1009
             23	    988	   1008
             24	    993	   1007
             25	    997	   1010
             26	    993	   1008
             27	    986	   1008
             28	    983	   1006
             29	    977	   1005
             30	    979	   1006
             31	    975	   1005
             32	    974	   1002
             33	    972	   1000
             34	    969	    995
             35	    969	    997
             36	    969	   1003
             37	    971	   1005
             38	    973	   1003
             39	    971	   1000
             40	    969	    997
             41	    966	    999
             42	    966	    999
             43	    966	   1001
             44	    966	   1001
             45	    967	    999
             46	    965	    996
             47	    963	    996
             48	    967	    998
             49	    969	    999
             50	    969	    996
             51	    968	    995
             52	    967	    994
             53	    963	    994
             54	    966	    998
             55	    964	   1001
             56	    968	    999
             57	    966	    997
             58	    964	    992
             59	    961	    985
             60	    960	    984
             61	    957	    983
             62	    952	    979
             63	    947	    973
             64	    947	    964
             65	    943	    966
             66	    933	    977
             67	    927	    998
             68	    927	   1017
             69	    939	   1034
             70	    958	   1048
             71	    980	   1064
             72	   1010	   1086
             73	   1048	   1111
             74	   1099	   1131
             75	   1148	   1140
             76	   1180	   1119
             77	   1192	   1066
             78	   1177	   1007
             79	   1128	    978
             80	   1058	    974
             81	    991	    981
             82	    951	    988
             83	    937	    987
             84	    939	    992
             85	    950	    994
             86	    958	    994
             87	    959	    988
             88	    957	    988
             89	    955	    992
             90	    958	    991
             91	    959	    990
             92	    961	    991
             93	    962	    987
             94	    960	    987
             95	    957	    987
             96	    956	    990
             97	    959	    992
             98	    955	    993
             99	    957	    989
            100	    958	    985
            101	    957	    987
            102	    958	    987
            103	    959	    989
            104	    958	    989
            105	    958	    985
            106	    955	    986
            107	    953	    988
            108	    957	    991
            109	    959	    990
            110	    963	    990
            111	    960	    990
            112	    960	    986
            113	    958	    987
            114	    956	    988
            115	    957	    990
            116	    956	    989
            117	    955	    986
            118	    953	    984
            119	    953	    985
            120	    956	    987
            121	    958	    990
            122	    958	    990
            123	    958	    987
            124	    956	    985
            125	    954	    989
            126	    959	    984
            127	    959	    987
            128	    958	    988
            129	    958	    987
            130	    957	    983
            131	    957	    986
            132	    956	    988
            133	    958	    987
            134	    956	    984
            135	    954	    981
            136	    953	    983
            137	    954	    982
            138	    955	    984
            139	    958	    987
            140	    960	    983
            141	    957	    984
            142	    958	    982
            143	    955	    983
            144	    958	    987
            145	    957	    987
            146	    957	    984
            147	    955	    981
            148	    955	    979
            149	    953	    980
            150	    956	    984
            151	    956	    984
            152	    957	    981
            153	    958	    979
            154	    954	    977
            155	    954	    975
            156	    955	    976
            157	    957	    976
            158	    957	    976
            159	    957	    975
            160	    954	    972
            161	    953	    972
            162	    953	    971
            163	    955	    971
            164	    955	    968
            165	    957	    967
            166	    954	    965
            167	    952	    965
            168	    952	    964
            169	    952	    966
            170	    951	    964
            171	    952	    961
            172	    950	    961
            173	    947	    961
            174	    950	    961
            175	    952	    962
            176	    953	    962
            177	    952	    959
            178	    949	    958
            179	    949	    959
            180	    951	    961
            181	    951	    963
            182	    952	    963
            183	    952	    966
            184	    951	    966
            185	    950	    969
            186	    953	    970
            187	    958	    975
            188	    959	    976
            189	    959	    974
            190	    957	    974
            191	    956	    977
            192	    961	    980
            193	    964	    985
            194	    964	    986
            195	    966	    986
            196	    965	    986
            197	    966	    988
            198	    967	    992
            199	    969	    995
