       sample #	   MLII	     V5
              0	    863	    933
              1	    863	    933
              2	    863	    933
              3	    863	    933
              4	    863	    933
              5	    863	    933
              6	    863	    933
              7	    860	    933
              8	    857	    933
              9	    856	    938
             10	    857	    937
             11	    855	    941
             12	    856	    940
             13	    856	    943
             14	    853	    944
             15	    848	    941
             16	    843	    940
             17	    836	    936
             18	    834	    929
             19	    827	    927
             20	    828	    925
             21	    820	    926
             22	    821	    925
             23	    820	    926
             24	    821	    926
             25	    822	    929
             26	    826	    931
             27	    825	    930
             28	    825	    927
             29	    822	    926
             30	    820	    923
             31	    818	    921
             32	    816	    921
             33	    817	    923
             34	    817	    921
             35	    816	    926
             36	    819	    925
             37	    819	    930
             38	    823	    933
             39	    822	    930
             40	    823	    933
             41	    822	    930
             42	    822	    927
             43	    819	    928
             44	    818	    923
             45	    815	    926
             46	    817	    925
             47	    817	    928
             48	    820	    928
             49	    822	    930
             50	    825	    933
             51	    825	    931
             52	    828	    933
             53	    831	    930
             54	    828	    931
             55	    827	    925
             56	    828	    925
             57	    830	    929
             58	    832	    928
             59	    837	    935
             60	    842	    942
             61	    852	    957
             62	    875	    971
             63	    908	    998
             64	    952	   1030
             65	   1005	   1061
             66	   1057	   1085
             67	   1111	   1101
             68	   1166	   1105
             69	   1219	   1113
             70	   1256	   1116
             71	   1264	   1116
             72	   1238	   1107
             73	   1171	   1085
             74	   1075	   1052
             75	    962	    997
             76	    842	    933
             77	    745	    861
             78	    692	    807
             79	    684	    780
             80	    706	    790
             81	    745	    820
             82	    778	    855
             83	    803	    880
             84	    811	    905
             85	    818	    915
             86	    814	    915
             87	    814	    916
             88	    817	    915
             89	    820	    916
             90	    820	    918
             91	    825	    922
             92	    825	    923
             93	    824	    923
             94	    822	    929
             95	    820	    926
             96	    823	    934
             97	    822	    932
             98	    824	    936
             99	    826	    933
            100	    827	    934
            101	    824	    929
            102	    824	    933
            103	    825	    931
            104	    822	    929
            105	    822	    930
            106	    820	    929
            107	    820	    933
            108	    826	    936
            109	    826	    936
            110	    828	    937
            111	    830	    938
            112	    830	    936
            113	    829	    936
            114	    826	    933
            115	    826	    934
            116	    826	    932
            117	    822	    932
            118	    821	    934
            119	    820	    939
            120	    823	    940
            121	    824	    937
            122	    829	    941
            123	    828	    939
            124	    828	    941
            125	    829	    940
            126	    826	    938
            127	    826	    937
            128	    823	    938
            129	    824	    939
            130	    823	    937
            131	    825	    942
            132	    824	    940
            133	    829	    942
            134	    831	    942
            135	    832	    942
            136	    831	    941
            137	    832	    940
            138	    832	    940
            139	    832	    939
            140	    828	    941
            141	    829	    942
            142	    830	    944
            143	    832	    947
            144	    835	    948
            145	    838	    951
            146	    842	    955
            147	    842	    957
            148	    839	    955
            149	    843	    958
            150	    842	    958
            151	    844	    953
            152	    841	    952
            153	    842	    956
            154	    845	    963
            155	    847	    961
            156	    851	    963
            157	    855	    968
            158	    858	    971
            159	    862	    972
            160	    866	    971
            161	    867	    971
            162	    870	    972
            163	    870	    970
            164	    870	    968
            165	    872	    973
            166	    878	    976
            167	    881	    981
            168	    886	    988
            169	    889	    990
            170	    896	    994
            171	    899	    994
            172	    902	    997
            173	    905	    997
            174	    907	    996
            175	    908	    997
            176	    909	    998
            177	    911	    998
            178	    910	   1003
            179	    914	   1002
            180	    916	   1007
            181	    920	   1009
            182	    924	   1010
            183	    925	   1006
            184	    924	   1005
            185	    922	   1005
            186	    915	    997
            187	    909	    992
            188	    905	    991
            189	    900	    990
            190	    895	    985
            191	    893	    982
            192	    890	    983
            193	    890	    982
            194	    880	    979
            195	    879	    977
            196	    874	    978
            197	    871	    969
            198	    867	    968
            199	    861	    960
            200	    858	    954
            201	    850	    955
            202	    847	    949
            203	    843	    950
            204	    842	    951
            205	    843	    951
            206	    839	    950
            207	    842	    948
            208	    842	    946
            209	    840	    941
            210	    836	    941
            211	    835	    938
            212	    829	    935
            213	    828	    935
            214	    827	    938
            215	    827	    936
            216	    831	    934
            217	    833	    940
            218	    835	    938
            219	    836	    937
            220	    836	    936
            221	    834	    940
            222	    832	    938
            223	    830	    937
            224	    829	    934
            225	    830	    935
            226	    827	    936
            227	    826	    937
            228	    826	    938
            229	    829	    941
            230	    830	    944
            231	    835	    943
            232	    834	    942
            233	    831	    941
            234	    831	    939
            235	    829	    936
            236	    827	    935
            237	    827	    936
            238	    828	    935
            239	    832	    937
            240	    832	    938
            241	    835	    941
            242	    834	    946
            243	    837	    939
            244	    836	    940
            245	    834	    942
            246	    833	    942
            247	    835	    937
            248	    832	    937
            249	    831	    942
            250	    830	    942
            251	    828	    941
            252	    831	    941
            253	    832	    947
            254	    833	    948
            255	    838	    947
            256	    834	    946
            257	    836	    944
            258	    834	    944
            259	    832	    942
            260	    827	    941
            261	    826	    943
            262	    827	    941
            263	    830	    942
            264	    832	    945
            265	    832	    947
            266	    836	    945
            267	    836	    945
            268	    835	    944
            269	    833	    940
            270	    831	    938
            271	    829	    935
            272	    827	    935
            273	    826	    938
            274	    826	    939
            275	    824	    941
            276	    825	    944
            277	    831	    943
            278	    830	    946
            279	    833	    945
            280	    832	    946
            281	    830	    944
            282	    827	    940
            283	    826	    939
            284	    825	    937
            285	    822	    936
            286	    819	    936
            287	    824	    940
            288	    826	    939
            289	    828	    939
            290	    830	    945
            291	    828	    943
            292	    828	    942
            293	    827	    934
            294	    821	    938
            295	    819	    932
            296	    816	    931
            297	    817	    929
            298	    819	    931
            299	    821	    933
            300	    820	    936
            301	    822	    940
            302	    827	    943
            303	    828	    939
